"isoform","compare","Freq","fc","log2FC","uncertainty","isoform_compare","medianp","gene_id","gene_name","gene_type","transcript_name","transcript_type","transcript_length","exon_count","junction_count","classification"
"ENST00000008527.10","M8/D6",2,1.38179121983637,0.466340392075688,1.66190180522636,"ENST00000008527.10 M8/D6",0.0605175901314417,"ENSG00000008405.12","CRY1","protein_coding","CRY1-201","protein_coding",2987,13,12,"Low Confidence"
"ENST00000009530.13","D5/D6",3,0.488796778274628,-1.03597191439393,4.70707248930221,"ENST00000009530.13 D5/D6",3.52029654071217e-07,"ENSG00000019582.17","CD74","protein_coding","CD74-201","protein_coding",1653,9,8,"Low Confidence"
"ENST00000009530.13","F7/D6",3,0.726140398572128,-0.461684357748407,0.182049870097083,"ENST00000009530.13 F7/D6",0.000130991467076932,"ENSG00000019582.17","CD74","protein_coding","CD74-201","protein_coding",1653,9,8,"High Confidence"
"ENST00000009530.13","M8/D6",2,0.849150980987222,-0.236726613681921,3.36982977583748,"ENST00000009530.13 M8/D6",0.0311925193331478,"ENSG00000019582.17","CD74","protein_coding","CD74-201","protein_coding",1653,9,8,"Medium Confidence"
"ENST00000009589.8","D5/D6",2,1.09748190184101,0.133768935025206,2.43609211733482,"ENST00000009589.8 D5/D6",0.0473978855307283,"ENSG00000008988.11","RPS20","protein_coding","RPS20-201","protein_coding",519,4,3,"Medium Confidence"
"ENST00000009589.8","F7/D6",3,1.14582523410498,0.196349363260096,0.5105796946788,"ENST00000009589.8 F7/D6",0.0590597695507792,"ENSG00000008988.11","RPS20","protein_coding","RPS20-201","protein_coding",519,4,3,"High Confidence"
"ENST00000011619.6","D5/D6",2,0.913609754200177,-0.130930117305321,2.83519510291279,"ENST00000011619.6 D5/D6",0.336386912070836,"ENSG00000010017.13","RANBP9","protein_coding","RANBP9-201","protein_coding",3384,14,13,"Medium Confidence"
"ENST00000012443.9","M8/D6",2,0.898589821556324,-0.154281308046224,0.469981946350286,"ENST00000012443.9 M8/D6",0.357051226062531,"ENSG00000011485.15","PPP5C","protein_coding","PPP5C-201","protein_coding",2139,13,12,"Low Confidence"
"ENST00000013070.11","D5/D6",3,0.843627687358902,-0.245416291307832,0.808247115193598,"ENST00000013070.11 D5/D6",0.0359270378033561,"ENSG00000012963.15","UBR7","protein_coding","UBR7-201","protein_coding",3494,11,10,"High Confidence"
"ENST00000013070.11","M8/D6",4,1.47637987495381,0.561895401588462,0.882215982745151,"ENST00000013070.11 M8/D6",0.00770546800070084,"ENSG00000012963.15","UBR7","protein_coding","UBR7-201","protein_coding",3494,11,10,"High Confidence"
"ENST00000014914.6","D5/D6",2,0.600697687994806,-0.735555140614719,1.920686583083,"ENST00000014914.6 D5/D6",0.0510509831572543,"ENSG00000013588.9","GPRC5A","protein_coding","GPRC5A-201","protein_coding",6582,4,3,"Medium Confidence"
"ENST00000014914.6","M8/D6",2,0.550332183006871,-0.861892382747551,1.92367791497546,"ENST00000014914.6 M8/D6",0.0544926821338089,"ENSG00000013588.9","GPRC5A","protein_coding","GPRC5A-201","protein_coding",6582,4,3,"Medium Confidence"
"ENST00000014930.9","D5/D6",4,2.25242411625167,1.17139971995341,0.605729132586504,"ENST00000014930.9 D5/D6",0.00944635245903068,"ENSG00000013583.10","HEBP1","protein_coding","HEBP1-201","protein_coding",1159,4,3,"High Confidence"
"ENST00000014930.9","M8/D6",4,2.24320718424906,1.16511316559524,1.43075042907724,"ENST00000014930.9 M8/D6",0.0145739012409609,"ENSG00000013583.10","HEBP1","protein_coding","HEBP1-201","protein_coding",1159,4,3,"High Confidence"
"ENST00000028008.9","F7/D6",2,0.657988748950464,-0.617253609609025,13.5606501661794,"ENST00000028008.9 F7/D6",0.0270440582405216,"ENSG00000026297.17","RNASET2","protein_coding","RNASET2-201","nonsense_mediated_decay",1220,9,8,"Low Confidence"
"ENST00000033079.7","F7/D6",2,0.836624359374107,-0.278855705777725,17.1393632628884,"ENST00000033079.7 F7/D6",0.224300442459491,"ENSG00000031003.11","FAM13B","protein_coding","FAM13B-201","protein_coding",5465,23,22,"Low Confidence"
"ENST00000037869.8","D5/D6",3,1.25117078436833,0.323162719542672,0.895112684891972,"ENST00000037869.8 D5/D6",0.0121247120237259,"ENSG00000035141.9","FAM136A","protein_coding","FAM136A-201","protein_coding",1786,3,2,"High Confidence"
"ENST00000038176.8","D5/D6",3,1.23858913996616,0.308606342807119,0.793655585514066,"ENST00000038176.8 D5/D6",0.0201241072664291,"ENSG00000035681.9","NSMAF","protein_coding","NSMAF-201","protein_coding",3574,31,30,"High Confidence"
"ENST00000040738.10","D5/D6",2,1.2370636899898,0.306897661611336,0.553722764475565,"ENST00000040738.10 D5/D6",0.129692940004339,"ENSG00000038219.13","BOD1L1","protein_coding","BOD1L1-201","protein_coding",10567,26,25,"Low Confidence"
"ENST00000040877.2","D5/D6",3,1.41571327403105,0.501340904032562,1.14144201165778,"ENST00000040877.2 D5/D6",0.0172637219794078,"ENSG00000059588.10","TARBP1","protein_coding","TARBP1-201","protein_coding",5206,30,29,"High Confidence"
"ENST00000044462.12","F7/D6",2,0.745738918325492,-0.423383698973512,1.32283115588481,"ENST00000044462.12 F7/D6",0.000480425727957843,"ENSG00000041357.16","PSMA4","protein_coding","PSMA4-201","protein_coding",4378,9,8,"Low Confidence"
"ENST00000046794.10","D5/D6",3,1.23662171056219,0.306387935939506,0.335929145787326,"ENST00000046794.10 D5/D6",0.0681933393760512,"ENSG00000043462.13","LCP2","protein_coding","LCP2-201","protein_coding",4232,21,20,"High Confidence"
"ENST00000046794.10","F7/D6",3,1.56329847963623,0.64068627043673,5.11349329636617,"ENST00000046794.10 F7/D6",0.000891355848825777,"ENSG00000043462.13","LCP2","protein_coding","LCP2-201","protein_coding",4232,21,20,"Low Confidence"
"ENST00000046794.10","M8/D6",3,1.77689211902859,0.828785944364888,1.97559499991548,"ENST00000046794.10 M8/D6",0.000755407303770275,"ENSG00000043462.13","LCP2","protein_coding","LCP2-201","protein_coding",4232,21,20,"Medium Confidence"
"ENST00000053243.6","D5/D6",4,0.706671327133971,-0.500933545575105,0.455593960137484,"ENST00000053243.6 D5/D6",0.000411702581731508,"ENSG00000048462.11","TNFRSF17","protein_coding","TNFRSF17-201","protein_coding",891,3,2,"High Confidence"
"ENST00000053243.6","F7/D6",3,0.775098098323804,-0.367660518004681,0.880739412027639,"ENST00000053243.6 F7/D6",0.00175312556773009,"ENSG00000048462.11","TNFRSF17","protein_coding","TNFRSF17-201","protein_coding",891,3,2,"High Confidence"
"ENST00000053243.6","M8/D6",3,0.751865626975032,-0.411511391485363,0.63588301971503,"ENST00000053243.6 M8/D6",0.00117043107296882,"ENSG00000048462.11","TNFRSF17","protein_coding","TNFRSF17-201","protein_coding",891,3,2,"High Confidence"
"ENST00000053468.4","F7/D6",3,0.767817565050614,-0.381359110832393,1.16408117945134,"ENST00000053468.4 F7/D6",0.0069566821491448,"ENSG00000048544.6","MRPS10","protein_coding","MRPS10-201","protein_coding",2100,7,6,"High Confidence"
"ENST00000053468.4","M8/D6",3,1.12930804033954,0.174906161955404,1.90928215961293,"ENST00000053468.4 M8/D6",0.101774884802787,"ENSG00000048544.6","MRPS10","protein_coding","MRPS10-201","protein_coding",2100,7,6,"Medium Confidence"
"ENST00000053867.8","F7/D6",3,0.855766758895402,-0.224763510291351,0.607643757144037,"ENST00000053867.8 F7/D6",0.0102455649451425,"ENSG00000030582.18","GRN","protein_coding","GRN-201","protein_coding",2130,13,12,"High Confidence"
"ENST00000053867.8","M8/D6",2,0.929971061231555,-0.104752952873058,0.38480151195522,"ENST00000053867.8 M8/D6",0.0463893649252873,"ENSG00000030582.18","GRN","protein_coding","GRN-201","protein_coding",2130,13,12,"Low Confidence"
"ENST00000054666.11","D5/D6",2,0.855668044243187,-0.224996611904145,1.28828145038885,"ENST00000054666.11 D5/D6",0.395956062361006,"ENSG00000049245.13","VAMP3","protein_coding","VAMP3-201","protein_coding",2178,5,4,"Low Confidence"
"ENST00000054950.4","M8/D6",2,0.855701094236685,-0.2248436945266,0.55892552117674,"ENST00000054950.4 M8/D6",0.00994865153923999,"ENSG00000049449.10","RCN1","protein_coding","RCN1-201","protein_coding",2369,6,5,"Low Confidence"
"ENST00000060969.6","D5/D6",2,1.13718556925331,0.185387273215733,1.05586124218706,"ENST00000060969.6 D5/D6",0.185558936646036,"ENSG00000052723.12","SIKE1","protein_coding","SIKE1-201","protein_coding",5494,5,4,"Low Confidence"
"ENST00000072644.7","D5/D6",3,0.659058090165504,-0.6055934143651,5.23769482287343,"ENST00000072644.7 D5/D6",0.0156054078667887,"ENSG00000058799.15","YIPF1","protein_coding","YIPF1-201","protein_coding",1821,11,10,"Low Confidence"
"ENST00000072869.9","D5/D6",2,1.36423273399933,0.44794743552241,1.40470110103365,"ENST00000072869.9 D5/D6",0.0480080035271817,"ENSG00000133597.11","ADCK2","protein_coding","ADCK2-201","protein_coding",2574,8,7,"Low Confidence"
"ENST00000075120.12","F7/D6",3,0.761008069253085,-0.394095477759015,0.740833778017052,"ENST00000075120.12 F7/D6",0.0220429005424943,"ENSG00000059804.16","SLC2A3","protein_coding","SLC2A3-201","protein_coding",3827,10,9,"High Confidence"
"ENST00000075120.12","M8/D6",4,1.44428471621082,0.528710072085601,2.70737802060197,"ENST00000075120.12 M8/D6",0.00305927096688637,"ENSG00000059804.16","SLC2A3","protein_coding","SLC2A3-201","protein_coding",3827,10,9,"Medium Confidence"
"ENST00000075322.11","D5/D6",4,0.582922916283543,-0.779604530491447,2.10523113136252,"ENST00000075322.11 D5/D6",0.00301561131434654,"ENSG00000136960.13","ENPP2","protein_coding","ENPP2-201","protein_coding",3086,25,24,"Medium Confidence"
"ENST00000075322.11","F7/D6",4,0.358985756570533,-1.4781914017189,0.937329592991164,"ENST00000075322.11 F7/D6",0.000312779986962337,"ENSG00000136960.13","ENPP2","protein_coding","ENPP2-201","protein_coding",3086,25,24,"High Confidence"
"ENST00000075322.11","M8/D6",4,0.545496159917068,-0.874456300945616,0.670428078882185,"ENST00000075322.11 M8/D6",0.0029854880912057,"ENSG00000136960.13","ENPP2","protein_coding","ENPP2-201","protein_coding",3086,25,24,"High Confidence"
"ENST00000081029.8","D5/D6",3,1.15876829871932,0.212480746860997,0.876040680193434,"ENST00000081029.8 D5/D6",0.0322918446039114,"ENSG00000061794.13","MRPS35","protein_coding","MRPS35-201","protein_coding",1829,8,7,"High Confidence"
"ENST00000081029.8","M8/D6",3,0.864964805241465,-0.209286848234712,0.0358260848136982,"ENST00000081029.8 M8/D6",0.0300053692773902,"ENSG00000061794.13","MRPS35","protein_coding","MRPS35-201","protein_coding",1829,8,7,"High Confidence"
"ENST00000085219.10","D5/D6",3,1.66333758452649,0.733894983233945,1.13945336801755,"ENST00000085219.10 D5/D6",3.4047928819877e-06,"ENSG00000012124.17","CD22","protein_coding","CD22-201","protein_coding",3274,14,13,"High Confidence"
"ENST00000085219.10","F7/D6",3,1.16750242846831,0.222898834108777,1.91392636416346,"ENST00000085219.10 F7/D6",0.0191307038643579,"ENSG00000012124.17","CD22","protein_coding","CD22-201","protein_coding",3274,14,13,"Medium Confidence"
"ENST00000085219.10","M8/D6",3,1.532572730222,0.615812358982126,0.99299487925426,"ENST00000085219.10 M8/D6",4.86060009066013e-05,"ENSG00000012124.17","CD22","protein_coding","CD22-201","protein_coding",3274,14,13,"High Confidence"
"ENST00000156471.10","D5/D6",2,1.25741591519962,0.330446784308546,0.458195086446426,"ENST00000156471.10 D5/D6",0.044641749933346,"ENSG00000021776.11","AQR","protein_coding","AQR-201","protein_coding",9597,35,34,"Low Confidence"
"ENST00000157600.8","M8/D6",2,1.51846076534926,0.60230921855693,2.04052630379905,"ENST00000157600.8 M8/D6",0.0817597599392902,"ENSG00000071282.12","LMCD1","protein_coding","LMCD1-201","protein_coding",8284,6,5,"Medium Confidence"
"ENST00000158762.8","D5/D6",2,1.11757798394061,0.160361614325655,0.438826277586695,"ENST00000158762.8 D5/D6",0.088579267734199,"ENSG00000072818.12","ACAP1","protein_coding","ACAP1-201","protein_coding",2511,22,21,"Low Confidence"
"ENST00000158771.9","D5/D6",3,0.796000363880899,-0.329306394473103,1.01408275838432,"ENST00000158771.9 D5/D6",0.0104010034562407,"ENSG00000072849.11","DERL2","protein_coding","DERL2-201","protein_coding",4167,7,6,"High Confidence"
"ENST00000158771.9","M8/D6",2,0.810443110305749,-0.303310857020963,1.13956156821159,"ENST00000158771.9 M8/D6",0.037917460404939,"ENSG00000072849.11","DERL2","protein_coding","DERL2-201","protein_coding",4167,7,6,"Low Confidence"
"ENST00000160262.10","F7/D6",3,1.4146866896088,0.50003937539484,1.76029449422579,"ENST00000160262.10 F7/D6",0.00148412080496041,"ENSG00000076662.11","ICAM3","protein_coding","ICAM3-201","protein_coding",1735,7,6,"High Confidence"
"ENST00000160827.9","D5/D6",3,1.59707139004514,0.675298462662938,0.947860391363616,"ENST00000160827.9 D5/D6",0.0152511362894826,"ENSG00000079616.14","KIF22","protein_coding","KIF22-201","protein_coding",2081,14,13,"High Confidence"
"ENST00000160827.9","M8/D6",4,2.81032733551082,1.48836459545066,3.27476786902874,"ENST00000160827.9 M8/D6",0.000119752837869407,"ENSG00000079616.14","KIF22","protein_coding","KIF22-201","protein_coding",2081,14,13,"Medium Confidence"
"ENST00000162749.7","M8/D6",3,1.43461545739548,0.520170671487881,1.84400272702862,"ENST00000162749.7 M8/D6",0.026306533872461,"ENSG00000067182.9","TNFRSF1A","protein_coding","TNFRSF1A-201","protein_coding",2171,10,9,"Medium Confidence"
"ENST00000164133.7","D5/D6",3,0.540875909511974,-0.887003741191353,1.61363613783592,"ENST00000164133.7 D5/D6",0.0103071449065456,"ENSG00000068971.14","PPP2R5B","protein_coding","PPP2R5B-201","protein_coding",2729,14,13,"High Confidence"
"ENST00000164227.10","D5/D6",3,0.464951928637382,-1.10570332729395,2.44661445153377,"ENST00000164227.10 D5/D6",0.00592510985941569,"ENSG00000069399.15","BCL3","protein_coding","BCL3-201","protein_coding",1877,9,8,"Medium Confidence"
"ENST00000168216.11","D5/D6",2,1.23735976700154,0.30719781409049,0.965282996973758,"ENST00000168216.11 D5/D6",0.0566887285949182,"ENSG00000072506.14","HSD17B10","protein_coding","HSD17B10-201","protein_coding",954,6,5,"Low Confidence"
"ENST00000168977.7","D5/D6",3,2.61958083851507,1.3882322528655,2.75622156322312,"ENST00000168977.7 D5/D6",0.00218205355755529,"ENSG00000077009.14","NMRK2","protein_coding","NMRK2-201","protein_coding",1160,8,7,"Medium Confidence"
"ENST00000168977.7","F7/D6",3,2.17659276723057,1.12175257393323,1.48331450918648,"ENST00000168977.7 F7/D6",0.00679763339739253,"ENSG00000077009.14","NMRK2","protein_coding","NMRK2-201","protein_coding",1160,8,7,"High Confidence"
"ENST00000168977.7","M8/D6",3,3.01863931798838,1.59355374856592,1.54612848316189,"ENST00000168977.7 M8/D6",0.00101295183879537,"ENSG00000077009.14","NMRK2","protein_coding","NMRK2-201","protein_coding",1160,8,7,"High Confidence"
"ENST00000169298.8","F7/D6",2,0.529344542420321,-0.917724423473835,0.216630840054729,"ENST00000169298.8 F7/D6",0.0115268196897206,"ENSG00000073849.16","ST6GAL1","protein_coding","ST6GAL1-201","protein_coding",4604,8,7,"Low Confidence"
"ENST00000171111.10","F7/D6",2,0.623561628925458,-0.682139350238762,3.20944447096558,"ENST00000171111.10 F7/D6",0.0258557091775615,"ENSG00000079999.14","KEAP1","protein_coding","KEAP1-201","protein_coding",2565,6,5,"Medium Confidence"
"ENST00000171111.10","M8/D6",2,0.653011871325311,-0.615551385845219,3.18584267859498,"ENST00000171111.10 M8/D6",0.0316247719510707,"ENSG00000079999.14","KEAP1","protein_coding","KEAP1-201","protein_coding",2565,6,5,"Medium Confidence"
"ENST00000171757.3","D5/D6",3,0.577649209097101,-0.792123908156767,1.63432445829966,"ENST00000171757.3 D5/D6",0.00108893115305273,"ENSG00000078589.13","P2RY10","protein_coding","P2RY10-201","protein_coding",3517,4,3,"High Confidence"
"ENST00000173527.6","D5/D6",3,0.858876829155218,-0.21948346058641,0.214297695321829,"ENST00000173527.6 D5/D6",0.0285394394247657,"ENSG00000066583.12","ISOC1","protein_coding","ISOC1-201","protein_coding",1942,5,4,"High Confidence"
"ENST00000173527.6","M8/D6",3,0.835619105956178,-0.259109397347506,0.43146968358595,"ENST00000173527.6 M8/D6",0.148797325578183,"ENSG00000066583.12","ISOC1","protein_coding","ISOC1-201","protein_coding",1942,5,4,"High Confidence"
"ENST00000174618.5","D5/D6",2,1.37488033694241,0.459244412335019,0.924426626900144,"ENST00000174618.5 D5/D6",0.0857807538349428,"ENSG00000070444.15","MNT","protein_coding","MNT-201","protein_coding",4925,6,5,"Low Confidence"
"ENST00000175091.5","D5/D6",4,0.816477195586303,-0.292519644818503,0.138291749640874,"ENST00000175091.5 D5/D6",0.00570739216843558,"ENSG00000068697.7","LAPTM4A","protein_coding","LAPTM4A-201","protein_coding",1365,7,6,"High Confidence"
"ENST00000175091.5","M8/D6",2,0.885504038434067,-0.175432358945616,0.208989637405118,"ENST00000175091.5 M8/D6",0.0582393997367657,"ENSG00000068697.7","LAPTM4A","protein_coding","LAPTM4A-201","protein_coding",1365,7,6,"Low Confidence"
"ENST00000175506.8","D5/D6",3,0.621858250503905,-0.685763851826481,1.70710726879367,"ENST00000175506.8 D5/D6",0.019196011636361,"ENSG00000070669.17","ASNS","protein_coding","ASNS-201","protein_coding",2356,14,13,"High Confidence"
"ENST00000175506.8","F7/D6",3,2.77784551906507,1.47229176766789,3.42852183189146,"ENST00000175506.8 F7/D6",3.46567420728338e-05,"ENSG00000070669.17","ASNS","protein_coding","ASNS-201","protein_coding",2356,14,13,"Medium Confidence"
"ENST00000175506.8","M8/D6",3,1.92004121191822,0.938963953858595,3.92673387740516,"ENST00000175506.8 M8/D6",0.00107997864348414,"ENSG00000070669.17","ASNS","protein_coding","ASNS-201","protein_coding",2356,14,13,"Low Confidence"
"ENST00000175756.10","D5/D6",2,1.31343338489761,0.393054296432959,2.00047847149349,"ENST00000175756.10 D5/D6",0.0175364071863143,"ENSG00000072135.13","PTPN18","protein_coding","PTPN18-201","protein_coding",3616,15,14,"Medium Confidence"
"ENST00000175756.10","M8/D6",2,1.20867539878603,0.273197690496532,1.78221265052929,"ENST00000175756.10 M8/D6",0.0574975156094997,"ENSG00000072135.13","PTPN18","protein_coding","PTPN18-201","protein_coding",3616,15,14,"Low Confidence"
"ENST00000176643.11","M8/D6",2,0.686667528408667,-0.542372229320942,0.880104135510945,"ENST00000176643.11 M8/D6",0.0307270840179824,"ENSG00000072210.19","ALDH3A2","protein_coding","ALDH3A2-201","protein_coding",3703,10,9,"Low Confidence"
"ENST00000176763.10","D5/D6",3,1.24801284614472,0.318052820059986,3.33154235266076,"ENST00000176763.10 D5/D6",0.00351269129175163,"ENSG00000072786.13","STK10","protein_coding","STK10-201","protein_coding",5892,19,18,"Medium Confidence"
"ENST00000177648.13","D5/D6",2,0.387110204733887,-1.37071721478539,4.60821885986513,"ENST00000177648.13 D5/D6",0.0119129439776921,"ENSG00000073331.18","ALPK1","protein_coding","ALPK1-201","protein_coding",4537,16,15,"Low Confidence"
"ENST00000177694.2","F7/D6",2,0.400779562414694,-1.32055919659989,4.4657938405033,"ENST00000177694.2 F7/D6",0.0117433529077946,"ENSG00000073861.3","TBX21","protein_coding","TBX21-201","protein_coding",2583,6,5,"Low Confidence"
"ENST00000182527.4","D5/D6",3,1.25936262131451,0.332448411290762,1.30266958601061,"ENST00000182527.4 D5/D6",0.0473798539985745,"ENSG00000065308.5","TRAM2","protein_coding","TRAM2-201","protein_coding",7047,11,10,"High Confidence"
"ENST00000182527.4","M8/D6",3,0.655141132154698,-0.61029613815087,1.096558393535,"ENST00000182527.4 M8/D6",0.0092543296060375,"ENSG00000065308.5","TRAM2","protein_coding","TRAM2-201","protein_coding",7047,11,10,"High Confidence"
"ENST00000184266.3","D5/D6",2,0.791672935145184,-0.337028686395232,0.266480593824665,"ENST00000184266.3 D5/D6",0.0100510856013972,"ENSG00000065518.8","NDUFB4","protein_coding","NDUFB4-201","protein_coding",651,3,2,"Low Confidence"
"ENST00000185150.9","D5/D6",2,0.780998535993417,-0.357068499448458,2.52554245608545,"ENST00000185150.9 D5/D6",0.0294866228017891,"ENSG00000068912.15","ERLEC1","protein_coding","ERLEC1-201","protein_coding",2446,14,13,"Medium Confidence"
"ENST00000185150.9","M8/D6",2,0.794597536705443,-0.33180984690858,1.21259070778516,"ENST00000185150.9 M8/D6",0.0940048904536848,"ENSG00000068912.15","ERLEC1","protein_coding","ERLEC1-201","protein_coding",2446,14,13,"Low Confidence"
"ENST00000186436.10","D5/D6",3,0.754965174039067,-0.407336538156212,3.57708419415027,"ENST00000186436.10 D5/D6",0.0476497030330981,"ENSG00000075568.17","TMEM131","protein_coding","TMEM131-201","protein_coding",6701,41,40,"Medium Confidence"
"ENST00000187762.7","F7/D6",2,0.81688400066787,-0.291803330627403,0.299320333746092,"ENST00000187762.7 F7/D6",0.0814666231786978,"ENSG00000072954.7","TMEM38A","protein_coding","TMEM38A-201","protein_coding",2631,6,5,"Low Confidence"
"ENST00000187762.7","M8/D6",4,0.649993658772788,-0.622241930696315,1.84739210500575,"ENST00000187762.7 M8/D6",0.0114484824660513,"ENSG00000072954.7","TMEM38A","protein_coding","TMEM38A-201","protein_coding",2631,6,5,"Medium Confidence"
"ENST00000188376.9","D5/D6",2,1.16123732232994,0.215634352742159,0.628487064832412,"ENST00000188376.9 D5/D6",0.346339123585887,"ENSG00000075415.15","SLC25A3","protein_coding","SLC25A3-201","protein_coding",1909,7,6,"Low Confidence"
"ENST00000188376.9","M8/D6",2,0.724246813348937,-0.468650274566774,6.65680186214259,"ENST00000188376.9 M8/D6",0.0361821208057766,"ENSG00000075415.15","SLC25A3","protein_coding","SLC25A3-201","protein_coding",1909,7,6,"Low Confidence"
"ENST00000191018.9","D5/D6",3,1.54936137137808,0.631513653452363,1.04992819170112,"ENST00000191018.9 D5/D6",0.0415813061742682,"ENSG00000064601.21","CTSA","protein_coding","CTSA-201","protein_coding",1898,15,14,"High Confidence"
"ENST00000193403.10","D5/D6",3,2.34179841864786,1.22396265895081,4.99324197369881,"ENST00000193403.10 D5/D6",0.00127318889875079,"ENSG00000072110.16","ACTN1","protein_coding","ACTN1-201","protein_coding",3779,21,20,"Low Confidence"
"ENST00000193403.10","M8/D6",2,1.6401337354274,0.713453184656401,2.23454132826367,"ENST00000193403.10 M8/D6",0.0368223958036996,"ENSG00000072110.16","ACTN1","protein_coding","ACTN1-201","protein_coding",3779,21,20,"Medium Confidence"
"ENST00000194214.10","D5/D6",4,0.864856227964877,-0.210098531262223,1.69147260918173,"ENST00000194214.10 D5/D6",0.212425992476041,"ENSG00000081870.12","HSPB11","protein_coding","HSPB11-201","protein_coding",685,6,5,"High Confidence"
