ASE,compare,final,Freq,isoform_compare,feature_type,mean_delta_psi_mean,medianp,uncertainty,alternative_transcripts,total_transcripts,classification
ENSG00000002822.16;A3:chr7:2230764-2232872:2230727-2232872:-,D5/D6,non-DAS,2,ENSG00000002822.16;A3:chr7:2230764-2232872:2230727-2232872:- D5/D6,non-DAS,0.046787411,0.563811189,55.57907591,ENST00000399654.6,"ENST00000399654.6,ENST00000265854.12",Low Confidence
ENSG00000002822.16;A3:chr7:2230764-2232872:2230727-2232872:-,M8/D6,non-DAS,2,ENSG00000002822.16;A3:chr7:2230764-2232872:2230727-2232872:- M8/D6,non-DAS,0.037531481,1,20.34921705,ENST00000399654.6,"ENST00000399654.6,ENST00000265854.12",Low Confidence
ENSG00000003402.21;AF:chr2:201116167:201116481-201129729:201118491:201118901-201129729:+,D5/D6,non-DAS,3,ENSG00000003402.21;AF:chr2:201116167:201116481-201129729:201118491:201118901-201129729:+ D5/D6,non-DAS,0.085614039,0.751748252,15.90014817,ENST00000341222.10,"ENST00000341222.10,ENST00000423241.6",Medium Confidence
ENSG00000003402.21;AF:chr2:201116167:201116481-201129729:201118491:201118901-201129729:+,F7/D6,non-DAS,2,ENSG00000003402.21;AF:chr2:201116167:201116481-201129729:201118491:201118901-201129729:+ F7/D6,non-DAS,-0.125999048,0.152847153,-9.616106212,ENST00000341222.10,"ENST00000341222.10,ENST00000423241.6",Low Confidence
ENSG00000003402.21;AF:chr2:201116167:201116481-201129729:201118491:201118901-201129729:+,M8/D6,non-DAS,2,ENSG00000003402.21;AF:chr2:201116167:201116481-201129729:201118491:201118901-201129729:+ M8/D6,non-DAS,-0.053147704,0.872564935,-37.05105873,ENST00000341222.10,"ENST00000341222.10,ENST00000423241.6",Low Confidence
ENSG00000003402.21;AF:chr2:201116407:201116481-201129729:201118491:201118901-201129729:+,D5/D6,non-DAS,3,ENSG00000003402.21;AF:chr2:201116407:201116481-201129729:201118491:201118901-201129729:+ D5/D6,non-DAS,0.074873353,0.49025974,34.19634622,ENST00000395148.6,"ENST00000423241.6,ENST00000395148.6",Medium Confidence
ENSG00000003402.21;AF:chr2:201116407:201116481-201129729:201118491:201118901-201129729:+,F7/D6,non-DAS,3,ENSG00000003402.21;AF:chr2:201116407:201116481-201129729:201118491:201118901-201129729:+ F7/D6,non-DAS,0.002394289,1,645.4075089,ENST00000395148.6,"ENST00000423241.6,ENST00000395148.6",Medium Confidence
ENSG00000003402.21;AF:chr2:201116407:201116481-201129729:201118491:201118901-201129729:+,M8/D6,non-DAS,2,ENSG00000003402.21;AF:chr2:201116407:201116481-201129729:201118491:201118901-201129729:+ M8/D6,non-DAS,0.04888569,0.779220779,41.78314271,ENST00000395148.6,"ENST00000423241.6,ENST00000395148.6",Low Confidence
ENSG00000004487.18;SE:chr1:23030634-23044427:23044486-23050387:+,D5/D6,non-DAS,2,ENSG00000004487.18;SE:chr1:23030634-23044427:23044486-23050387:+ D5/D6,non-DAS,0.040554999,1,2.89316554,"ENST00000688680.1,ENST00000691694.1,ENST00000691404.1,ENST00000685102.1,ENST00000689366.1,ENST00000686270.1,ENST00000690627.1,ENST00000689853.1,ENST00000400181.9","ENST00000687202.1,ENST00000686771.1,ENST00000689853.1,ENST00000688680.1,ENST00000465864.2,ENST00000691813.1,ENST00000693156.1,ENST00000690627.1,ENST00000686934.1,ENST00000689366.1,ENST00000688122.1,ENST00000686270.1,ENST00000692853.1,ENST00000691404.1,ENST00000691694.1,ENST00000691256.1,ENST00000692056.1,ENST00000691682.1,ENST00000692214.1,ENST00000400181.9,ENST00000692209.1,ENST00000685102.1,ENST00000688235.1,ENST00000356634.7,ENST00000692975.1,ENST00000686339.1",Low Confidence
ENSG00000004487.18;SE:chr1:23030634-23044427:23044486-23050387:+,M8/D6,non-DAS,2,ENSG00000004487.18;SE:chr1:23030634-23044427:23044486-23050387:+ M8/D6,non-DAS,0.004524762,1,453.0745258,"ENST00000688680.1,ENST00000691694.1,ENST00000691404.1,ENST00000685102.1,ENST00000689366.1,ENST00000686270.1,ENST00000690627.1,ENST00000689853.1,ENST00000400181.9","ENST00000687202.1,ENST00000686771.1,ENST00000689853.1,ENST00000688680.1,ENST00000465864.2,ENST00000691813.1,ENST00000693156.1,ENST00000690627.1,ENST00000686934.1,ENST00000689366.1,ENST00000688122.1,ENST00000686270.1,ENST00000692853.1,ENST00000691404.1,ENST00000691694.1,ENST00000691256.1,ENST00000692056.1,ENST00000691682.1,ENST00000692214.1,ENST00000400181.9,ENST00000692209.1,ENST00000685102.1,ENST00000688235.1,ENST00000356634.7,ENST00000692975.1,ENST00000686339.1",Low Confidence
ENSG00000004487.18;SE:chr1:23059167-23066060:23066071-23068539:+,D5/D6,non-DAS,2,ENSG00000004487.18;SE:chr1:23059167-23066060:23066071-23068539:+ D5/D6,non-DAS,0.033733898,1,20.82688226,ENST00000400181.9,"ENST00000687202.1,ENST00000689853.1,ENST00000688680.1,ENST00000465864.2,ENST00000691813.1,ENST00000693156.1,ENST00000686934.1,ENST00000689366.1,ENST00000688122.1,ENST00000686270.1,ENST00000692853.1,ENST00000691404.1,ENST00000691694.1,ENST00000691256.1,ENST00000692056.1,ENST00000691682.1,ENST00000692214.1,ENST00000400181.9,ENST00000685102.1,ENST00000356634.7,ENST00000692975.1,ENST00000686339.1",Low Confidence
ENSG00000004534.15;A3:chr3:49962685-49967198:49962685-49967470:+,D5/D6,non-DAS,2,ENSG00000004534.15;A3:chr3:49962685-49967198:49962685-49967470:+ D5/D6,non-DAS,0.009058869,1,23.77940346,"ENST00000443081.5,ENST00000454079.5","ENST00000454079.5,ENST00000425608.5,ENST00000443081.5,ENST00000433811.1,ENST00000266022.9",Low Confidence
ENSG00000004534.15;A3:chr3:49962685-49967198:49962685-49967470:+,F7/D6,non-DAS,3,ENSG00000004534.15;A3:chr3:49962685-49967198:49962685-49967470:+ F7/D6,non-DAS,0.071810529,0.24000999,10.62364887,"ENST00000443081.5,ENST00000454079.5","ENST00000454079.5,ENST00000425608.5,ENST00000443081.5,ENST00000433811.1,ENST00000266022.9",Medium Confidence
ENSG00000004534.15;A3:chr3:49962685-49967198:49962685-49967470:+,M8/D6,non-DAS,3,ENSG00000004534.15;A3:chr3:49962685-49967198:49962685-49967470:+ M8/D6,non-DAS,0.07559206,0.174825175,9.001245392,"ENST00000443081.5,ENST00000454079.5","ENST00000454079.5,ENST00000425608.5,ENST00000443081.5,ENST00000433811.1,ENST00000266022.9",Medium Confidence
ENSG00000004534.15;RI:chr3:50061462:50061547-50061962:50062108:+,D5/D6,non-DAS,2,ENSG00000004534.15;RI:chr3:50061462:50061547-50061962:50062108:+ D5/D6,non-DAS,0.030316771,0.59965035,4.218732846,ENST00000454079.5,"ENST00000454079.5,ENST00000443081.5,ENST00000266022.9,ENST00000441115.5,ENST00000422955.5,ENST00000419610.5,ENST00000442092.5,ENST00000438912.1,ENST00000434592.5",Low Confidence
ENSG00000004534.15;RI:chr3:50061462:50061547-50061962:50062108:+,F7/D6,non-DAS,3,ENSG00000004534.15;RI:chr3:50061462:50061547-50061962:50062108:+ F7/D6,non-DAS,0.093357589,0.187312687,5.988676563,ENST00000454079.5,"ENST00000454079.5,ENST00000443081.5,ENST00000266022.9,ENST00000441115.5,ENST00000422955.5,ENST00000419610.5,ENST00000442092.5,ENST00000438912.1,ENST00000434592.5",Medium Confidence
ENSG00000004866.22;AF:chr7:116953327:116953691-117099762:117014888:117015014-117099762:+,F7/D6,non-DAS,3,ENSG00000004866.22;AF:chr7:116953327:116953691-117099762:117014888:117015014-117099762:+ F7/D6,non-DAS,0.040824525,0.788544789,18.99037225,ENST00000265437.9,"ENST00000265437.9,ENST00000422922.5,ENST00000432298.5",Medium Confidence
ENSG00000004866.22;AF:chr7:116953327:116953691-117099762:117014888:117015014-117099762:+,M8/D6,non-DAS,2,ENSG00000004866.22;AF:chr7:116953327:116953691-117099762:117014888:117015014-117099762:+ M8/D6,non-DAS,-0.037320935,1,-6.033960998,ENST00000265437.9,"ENST00000265437.9,ENST00000422922.5,ENST00000432298.5",Low Confidence
ENSG00000004866.22;AF:chr7:116953342:116953691-117099762:117014888:117015014-117099762:+,F7/D6,non-DAS,3,ENSG00000004866.22;AF:chr7:116953342:116953691-117099762:117014888:117015014-117099762:+ F7/D6,non-DAS,-0.034341866,1,-1.586293205,ENST00000393451.7,"ENST00000393451.7,ENST00000422922.5,ENST00000432298.5",Medium Confidence
ENSG00000004866.22;AF:chr7:116953342:116953691-117099762:117014888:117015014-117099762:+,M8/D6,non-DAS,3,ENSG00000004866.22;AF:chr7:116953342:116953691-117099762:117014888:117015014-117099762:+ M8/D6,non-DAS,-0.054414145,1,-6.301262007,ENST00000393451.7,"ENST00000393451.7,ENST00000422922.5,ENST00000432298.5",Medium Confidence
ENSG00000004866.22;AF:chr7:116953501:116953691-117099762:117014888:117015014-117099762:+,F7/D6,non-DAS,3,ENSG00000004866.22;AF:chr7:116953501:116953691-117099762:117014888:117015014-117099762:+ F7/D6,non-DAS,-0.085626482,0.652647353,-7.73583941,ENST00000323984.8,"ENST00000323984.8,ENST00000422922.5,ENST00000432298.5",Medium Confidence
ENSG00000004866.22;AL:chr7:117222062-117222861:117223907:117222062-117229762:117230176:+,D5/D6,non-DAS,3,ENSG00000004866.22;AL:chr7:117222062-117222861:117223907:117222062-117229762:117230176:+ D5/D6,non-DAS,0.055923328,0.739468864,64.0482613,ENST00000265437.9,"ENST00000323984.8,ENST00000265437.9",Medium Confidence
ENSG00000004866.22;AL:chr7:117222062-117222861:117223907:117222062-117229762:117230176:+,F7/D6,non-DAS,3,ENSG00000004866.22;AL:chr7:117222062-117222861:117223907:117222062-117229762:117230176:+ F7/D6,non-DAS,0.171238504,0.493006993,7.06007823,ENST00000265437.9,"ENST00000323984.8,ENST00000265437.9",Medium Confidence
ENSG00000004866.22;AL:chr7:117222062-117222861:117223907:117222062-117229762:117230176:+,M8/D6,non-DAS,2,ENSG00000004866.22;AL:chr7:117222062-117222861:117223907:117222062-117229762:117230176:+ M8/D6,non-DAS,0.104865215,1,12.53852076,ENST00000265437.9,"ENST00000323984.8,ENST00000265437.9",Low Confidence
ENSG00000004866.22;SE:chr7:117131960-117134124:117134192-117136081:+,F7/D6,non-DAS,3,ENSG00000004866.22;SE:chr7:117131960-117134124:117134192-117136081:+ F7/D6,non-DAS,-0.029830736,0.639360639,-34.16797626,"ENST00000265437.9,ENST00000393449.5,ENST00000323984.8,ENST00000432298.5,ENST00000487459.5,ENST00000393447.8,ENST00000490039.1","ENST00000489293.5,ENST00000446490.5,ENST00000265437.9,ENST00000422922.5,ENST00000438863.5,ENST00000393443.5,ENST00000323984.8,ENST00000487459.5,ENST00000393451.7,ENST00000465133.5,ENST00000393444.7,ENST00000393449.5,ENST00000490039.1,ENST00000393447.8,ENST00000393446.6,ENST00000432298.5",Medium Confidence
ENSG00000004866.22;SE:chr7:117131960-117134124:117134192-117136081:+,M8/D6,non-DAS,3,ENSG00000004866.22;SE:chr7:117131960-117134124:117134192-117136081:+ M8/D6,non-DAS,-0.063953015,0.345321345,-9.39934008,"ENST00000265437.9,ENST00000393449.5,ENST00000323984.8,ENST00000432298.5,ENST00000487459.5,ENST00000393447.8,ENST00000490039.1","ENST00000489293.5,ENST00000446490.5,ENST00000265437.9,ENST00000422922.5,ENST00000438863.5,ENST00000393443.5,ENST00000323984.8,ENST00000487459.5,ENST00000393451.7,ENST00000465133.5,ENST00000393444.7,ENST00000393449.5,ENST00000490039.1,ENST00000393447.8,ENST00000393446.6,ENST00000432298.5",Medium Confidence
ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11758556:11758773-11759793:+,F7/D6,non-DAS,2,ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11758556:11758773-11759793:+ F7/D6,non-DAS,-0.019258475,1,-231.9281148,ENST00000337339.7,"ENST00000337339.7,ENST00000398527.7",Low Confidence
ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11758556:11758773-11759793:+,M8/D6,non-DAS,2,ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11758556:11758773-11759793:+ M8/D6,non-DAS,0.029924329,0.7878996,4.898873491,ENST00000337339.7,"ENST00000337339.7,ENST00000398527.7",Low Confidence
ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11759604:11759712-11759793:+,D5/D6,non-DAS,3,ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11759604:11759712-11759793:+ D5/D6,non-DAS,-0.020427981,0.564435564,-126.6062947,ENST00000337339.7,"ENST00000649602.1,ENST00000337339.7",Medium Confidence
ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11759604:11759712-11759793:+,F7/D6,non-DAS,3,ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11759604:11759712-11759793:+ F7/D6,non-DAS,0.018402026,0.554334554,148.9365915,ENST00000337339.7,"ENST00000649602.1,ENST00000337339.7",Medium Confidence
ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11759604:11759712-11759793:+,M8/D6,non-DAS,3,ENSG00000005302.19;AF:chrX:11758203:11758365-11759793:11759604:11759712-11759793:+ M8/D6,non-DAS,-0.162722835,0.246753247,-18.7604437,ENST00000337339.7,"ENST00000649602.1,ENST00000337339.7",Medium Confidence
ENSG00000005302.19;AF:chrX:11758250:11758365-11759793:11758556:11758773-11759793:+,M8/D6,non-DAS,2,ENSG00000005302.19;AF:chrX:11758250:11758365-11759793:11758556:11758773-11759793:+ M8/D6,non-DAS,0.095007607,0.477550958,18.80977846,"ENST00000647701.1,ENST00000648889.1,ENST00000647857.1","ENST00000647857.1,ENST00000647701.1,ENST00000648889.1,ENST00000398527.7",Low Confidence
ENSG00000005302.19;AF:chrX:11759424:11759875-11760403:11760093:11760309-11760403:+,D5/D6,non-DAS,3,ENSG00000005302.19;AF:chrX:11759424:11759875-11760403:11760093:11760309-11760403:+ D5/D6,non-DAS,0.126411995,0.435064935,18.6070172,ENST00000649078.1,"ENST00000649078.1,ENST00000649271.1",Medium Confidence
ENSG00000005302.19;AF:chrX:11759424:11759875-11760403:11760093:11760309-11760403:+,F7/D6,non-DAS,3,ENSG00000005302.19;AF:chrX:11759424:11759875-11760403:11760093:11760309-11760403:+ F7/D6,non-DAS,0.152279567,0.177322677,14.03452643,ENST00000649078.1,"ENST00000649078.1,ENST00000649271.1",Medium Confidence
ENSG00000005302.19;AF:chrX:11759424:11759875-11760403:11760093:11760309-11760403:+,M8/D6,non-DAS,3,ENSG00000005302.19;AF:chrX:11759424:11759875-11760403:11760093:11760309-11760403:+ M8/D6,non-DAS,0.045995061,1,48.2369636,ENST00000649078.1,"ENST00000649078.1,ENST00000649271.1",Medium Confidence
ENSG00000005302.19;AF:chrX:11759623:11759875-11760403:11760093:11760309-11760403:+,D5/D6,non-DAS,2,ENSG00000005302.19;AF:chrX:11759623:11759875-11760403:11760093:11760309-11760403:+ D5/D6,non-DAS,-0.009549641,1,-59.45555526,ENST00000649308.1,"ENST00000649308.1,ENST00000649271.1",Low Confidence
ENSG00000005302.19;AF:chrX:11759623:11759875-11760403:11760093:11760309-11760403:+,F7/D6,non-DAS,2,ENSG00000005302.19;AF:chrX:11759623:11759875-11760403:11760093:11760309-11760403:+ F7/D6,non-DAS,0.090910894,0.205107393,46.05021609,ENST00000649308.1,"ENST00000649308.1,ENST00000649271.1",Low Confidence
ENSG00000005302.19;AF:chrX:11759623:11759875-11760403:11760093:11760309-11760403:+,M8/D6,non-DAS,2,ENSG00000005302.19;AF:chrX:11759623:11759875-11760403:11760093:11760309-11760403:+ M8/D6,non-DAS,-0.123162457,0.204224347,-13.53561531,ENST00000649308.1,"ENST00000649308.1,ENST00000649271.1",Low Confidence
ENSG00000005471.19;A3:chr7:87406515-87408037:87406494-87408037:-,D5/D6,non-DAS,3,ENSG00000005471.19;A3:chr7:87406515-87408037:87406494-87408037:- D5/D6,non-DAS,-0.026477393,0.344405594,-14.01484829,"ENST00000265723.8,ENST00000467079.1","ENST00000649586.2,ENST00000453593.5,ENST00000359206.8,ENST00000265723.8,ENST00000467079.1",Medium Confidence
ENSG00000005471.19;A3:chr7:87406515-87408037:87406494-87408037:-,F7/D6,non-DAS,2,ENSG00000005471.19;A3:chr7:87406515-87408037:87406494-87408037:- F7/D6,non-DAS,0.046222315,0.57042957,21.04350043,"ENST00000265723.8,ENST00000467079.1","ENST00000649586.2,ENST00000453593.5,ENST00000359206.8,ENST00000265723.8,ENST00000467079.1",Low Confidence
ENSG00000005471.19;A3:chr7:87406515-87408037:87406494-87408037:-,M8/D6,non-DAS,2,ENSG00000005471.19;A3:chr7:87406515-87408037:87406494-87408037:- M8/D6,non-DAS,0.005896765,0.623626374,276.9282465,"ENST00000265723.8,ENST00000467079.1","ENST00000649586.2,ENST00000453593.5,ENST00000359206.8,ENST00000265723.8,ENST00000467079.1",Low Confidence
ENSG00000005486.17;SE:chr7:75879260-75881365:75881486-75881829:+,F7/D6,non-DAS,2,ENSG00000005486.17;SE:chr7:75879260-75881365:75881486-75881829:+ F7/D6,non-DAS,0.032326281,1,28.43822277,"ENST00000318622.8,ENST00000454791.1","ENST00000454791.1,ENST00000318622.8,ENST00000006777.11",Low Confidence
ENSG00000005486.17;SE:chr7:75879260-75881365:75881486-75881829:+,M8/D6,non-DAS,3,ENSG00000005486.17;SE:chr7:75879260-75881365:75881486-75881829:+ M8/D6,non-DAS,-0.018289042,1,-32.61118193,"ENST00000318622.8,ENST00000454791.1","ENST00000454791.1,ENST00000318622.8,ENST00000006777.11",Medium Confidence
ENSG00000005801.18;A3:chr11:3368855-3370975:3361889-3370975:-,D5/D6,non-DAS,2,ENSG00000005801.18;A3:chr11:3368855-3370975:3361889-3370975:- D5/D6,non-DAS,0.037055297,0.894577645,86.81543605,ENST00000649622.1,"ENST00000005082.13,ENST00000529789.5,ENST00000534569.5,ENST00000526601.5,ENST00000399602.9,ENST00000620374.4,ENST00000649622.1",Low Confidence
ENSG00000005801.18;A3:chr11:3368855-3370975:3361889-3370975:-,M8/D6,non-DAS,2,ENSG00000005801.18;A3:chr11:3368855-3370975:3361889-3370975:- M8/D6,non-DAS,0.070125585,0.823376623,21.85556896,ENST00000649622.1,"ENST00000005082.13,ENST00000529789.5,ENST00000534569.5,ENST00000526601.5,ENST00000399602.9,ENST00000620374.4,ENST00000649622.1",Low Confidence
ENSG00000005801.18;A3:chr11:3373675-3379038:3373656-3379038:-,D5/D6,non-DAS,2,ENSG00000005801.18;A3:chr11:3373675-3379038:3373656-3379038:- D5/D6,non-DAS,0.06150039,1,7.178867553,"ENST00000343338.11,ENST00000529678.5","ENST00000528410.5,ENST00000330692.11,ENST00000524857.5,ENST00000438262.6,ENST00000532539.1,ENST00000343338.11,ENST00000526601.5,ENST00000529678.5,ENST00000618467.4,ENST00000620374.4,ENST00000528218.5",Low Confidence
ENSG00000005801.18;A3:chr11:3373675-3379038:3373656-3379038:-,F7/D6,non-DAS,2,ENSG00000005801.18;A3:chr11:3373675-3379038:3373656-3379038:- F7/D6,non-DAS,0.030850982,1,73.56836474,"ENST00000343338.11,ENST00000529678.5","ENST00000528410.5,ENST00000330692.11,ENST00000524857.5,ENST00000438262.6,ENST00000532539.1,ENST00000343338.11,ENST00000526601.5,ENST00000529678.5,ENST00000618467.4,ENST00000620374.4,ENST00000528218.5",Low Confidence
ENSG00000005801.18;A3:chr11:3373675-3379038:3373656-3379038:-,M8/D6,non-DAS,2,ENSG00000005801.18;A3:chr11:3373675-3379038:3373656-3379038:- M8/D6,non-DAS,-0.026732952,0.898601399,-82.92923158,"ENST00000343338.11,ENST00000529678.5","ENST00000528410.5,ENST00000330692.11,ENST00000524857.5,ENST00000438262.6,ENST00000532539.1,ENST00000343338.11,ENST00000526601.5,ENST00000529678.5,ENST00000618467.4,ENST00000620374.4,ENST00000528218.5",Low Confidence
ENSG00000005810.20;SE:chr13:77099013-77118340:77118495-77121373:-,D5/D6,non-DAS,2,ENSG00000005810.20;SE:chr13:77099013-77118340:77118495-77121373:- D5/D6,non-DAS,-0.0035821,1,-54.40772873,"ENST00000682321.1,ENST00000695079.1","ENST00000695086.1,ENST00000695080.1,ENST00000695078.1,ENST00000544440.7,ENST00000682321.1,ENST00000683823.1,ENST00000695079.1,ENST00000695081.1",Low Confidence
ENSG00000005810.20;SE:chr13:77099013-77118340:77118519-77121373:-,F7/D6,non-DAS,2,ENSG00000005810.20;SE:chr13:77099013-77118340:77118519-77121373:- F7/D6,non-DAS,0.010556418,1,100.0967904,ENST00000357337.11,"ENST00000695086.1,ENST00000695080.1,ENST00000695078.1,ENST00000544440.7,ENST00000683823.1,ENST00000357337.11,ENST00000695081.1",Low Confidence
ENSG00000005810.20;SE:chr13:77099013-77118340:77118519-77121373:-,M8/D6,non-DAS,2,ENSG00000005810.20;SE:chr13:77099013-77118340:77118519-77121373:- M8/D6,non-DAS,-0.016626954,1,-48.8762231,ENST00000357337.11,"ENST00000695086.1,ENST00000695080.1,ENST00000695078.1,ENST00000544440.7,ENST00000683823.1,ENST00000357337.11,ENST00000695081.1",Low Confidence
ENSG00000005810.20;SE:chr13:77126542-77129156:77129230-77139196:-,D5/D6,non-DAS,2,ENSG00000005810.20;SE:chr13:77126542-77129156:77129230-77139196:- D5/D6,non-DAS,0.032993984,1,17.99665333,"ENST00000682321.1,ENST00000683823.1","ENST00000682321.1,ENST00000357337.11,ENST00000683823.1,ENST00000683697.1,ENST00000544440.7",Low Confidence
ENSG00000005844.19;A3:chr16:30504264-30505244:30504264-30505247:+,M8/D6,non-DAS,3,ENSG00000005844.19;A3:chr16:30504264-30505244:30504264-30505247:+ M8/D6,non-DAS,-0.052014116,0.608391608,-53.89964373,"ENST00000677830.1,ENST00000356798.11","ENST00000358164.9,ENST00000676652.1,ENST00000678203.1,ENST00000563615.5,ENST00000677830.1,ENST00000356798.11",Medium Confidence
